rok	nuts	celkem	anglictina	francouzstina	nemcina	rustina	spanelstina	italstina	latina	rectina	evropsky	jiny
2010	CZ051	18360	15847	1548	10131	250	430	25	172	0	0	0
2010	CZ052	27086	25207	1972	10799	2050	1390	0	473	0	0	0
2010	CZ053	24217	22189	1835	9187	1961	584	24	280	0	0	0
2010	CZ063	24543	20957	1914	12787	976	385	18	691	0	0	0
2010	CZ064	55548	50254	4229	25534	3115	2152	67	2025	0	0	0
2010	CZ071	31142	28321	1957	11675	3125	1700	0	287	0	0	0
2010	CZ072	29173	27268	2422	11929	1714	1249	88	565	0	0	0
2010	CZ080	58789	54976	3968	21393	5866	4571	13	672	0	0	68
2011	CZ0	454977	418369	34532	207169	29836	24709	668	9423	0	2	185
2011	CZ010	60884	59739	7297	25027	2766	7952	407	2045	0	0	77
2011	CZ020	40213	36738	3577	17347	3280	1114	29	963	0	2	46
2011	CZ031	29484	25390	1943	17629	727	1234	19	634	0	0	25
2011	CZ032	22903	19199	1347	13732	1571	1120	20	522	0	0	0
2011	CZ041	12300	9540	585	8843	769	27	0	119	0	0	0
2011	CZ042	35737	30626	2072	21010	1012	773	11	542	0	0	0
2011	CZ051	17319	15393	1482	9163	309	441	25	175	0	0	1
2011	CZ052	25935	24517	1676	9946	2131	1322	0	370	0	0	0
2011	CZ053	22832	21579	1547	8339	2066	585	21	312	0	0	0
2011	CZ063	23458	20788	1662	11808	1070	462	9	520	0	0	0
2011	CZ064	52326	48547	3897	23840	3009	2150	29	1916	0	0	0
2011	CZ071	29268	27443	1723	10697	3247	1609	0	140	0	0	0
2011	CZ072	27198	26185	2153	10723	1847	1235	57	484	0	0	0
2011	CZ080	55120	52685	3571	19065	6032	4685	41	681	0	0	36
2012	CZ0	429840	403518	30422	185690	29468	23752	495	8577	0	4	224
2012	CZ010	58265	57335	6660	23540	2709	7975	359	1914	0	0	87
2012	CZ020	38506	36110	3324	15164	3320	1205	0	839	0	1	55
2012	CZ031	28079	24722	1602	15838	714	1176	8	609	0	0	50
2012	CZ032	21933	19060	1193	12523	1396	1107	0	461	0	0	0
2012	CZ041	11279	8868	484	7798	817	39	0	122	0	0	0
2012	CZ042	33864	30007	1829	18959	1027	609	0	483	0	0	0
2012	CZ051	16329	14965	1324	7947	314	375	38	164	0	0	0
2012	CZ052	24494	23663	1397	8925	2044	1325	0	434	0	0	0
2012	CZ053	21401	20713	1326	7257	2016	601	14	263	0	0	0
2012	CZ063	21986	20329	1390	10339	1109	458	0	495	0	0	0
2012	CZ064	48935	46243	3397	21640	2981	1846	0	1590	0	0	0
2012	CZ071	27831	26753	1416	9428	3413	1459	0	116	0	3	0
2012	CZ072	25196	24600	1914	9336	1866	1223	58	397	0	0	0
2012	CZ080	51742	50150	3166	16996	5742	4354	18	690	0	0	32
2013	CZ0	410716	392641	27224	169033	29316	22778	437	8498	0	8	191
2013	CZ010	56431	55823	6367	22543	2406	7697	290	2039	0	1	98
2013	CZ020	37219	35717	3005	13396	3730	1211	0	819	0	1	52
2013	CZ031	26780	24111	1320	14419	610	1121	0	626	0	0	25
2013	CZ032	20956	19054	1117	11350	1248	1016	0	497	0	0	0
2013	CZ041	10979	8867	455	7321	1067	47	0	74	0	0	0
2013	CZ042	32156	29452	1437	16887	1094	688	0	395	0	0	0
2013	CZ051	15653	14680	1230	7318	359	370	34	196	0	0	0
2013	CZ052	23241	22752	1235	7839	2084	1256	0	430	0	0	0
2013	CZ053	20669	20258	1181	6513	2084	602	13	316	0	0	0
2013	CZ063	20865	19869	1189	8891	1236	433	8	508	0	0	0
2013	CZ064	46189	44460	2955	19877	2807	1704	30	1523	0	0	0
2013	CZ071	26687	26003	1221	8850	3534	1278	0	128	0	6	0
2013	CZ072	23774	23501	1718	8228	1738	1211	53	412	0	0	0
2013	CZ080	49117	48094	2794	15601	5319	4144	9	535	0	0	16
